,Name,SACFOR_kel,SACFOR_veg,Elev(m),Slope(deg),Rugosity,kelp_num,veg_num,veg_num_corr,depth criteria,kelp_pres/abs,veg_pres/abs,kelp_new_class,veg_new_class,veg_nocorr_new_class,x,y,wl_398,wl_400,wl_403,wl_405,wl_407,wl_409,wl_411,wl_414,wl_416,wl_418,wl_420,wl_423,wl_425,wl_427,wl_429,wl_432,wl_434,wl_436,wl_438,wl_441,wl_443,wl_445,wl_447,wl_449,wl_452,wl_454,wl_456,wl_458,wl_461,wl_463,wl_465,wl_467,wl_470,wl_472,wl_474,wl_476,wl_478,wl_481,wl_483,wl_485,wl_487,wl_490,wl_492,wl_494,wl_496,wl_499,wl_501,wl_503,wl_505,wl_508,wl_510,wl_512,wl_514,wl_516,wl_519,wl_521,wl_523,wl_525,wl_528,wl_530,wl_532,wl_534,wl_537,wl_539,wl_541,wl_543,wl_546,wl_548,wl_550,wl_552,wl_554,wl_557,wl_559,wl_561,wl_563,wl_566,wl_568,wl_570,wl_572,wl_575,wl_577,wl_579,wl_581,wl_583,wl_586,wl_588,wl_590,wl_592,wl_595,wl_597,wl_599,wl_601,wl_604,wl_606,wl_608,wl_610,wl_613,wl_615,wl_617,wl_619,wl_621,wl_624,wl_626,wl_628,wl_630,wl_633,wl_635,wl_637,wl_639,wl_642,wl_644,wl_646,wl_648,wl_651,wl_653,wl_655,wl_657,wl_659,wl_662,wl_664,wl_666,wl_668,wl_671,wl_673,wl_675,wl_677,wl_680,wl_682,wl_684,wl_686,wl_688,wl_691,wl_693,wl_695,wl_697,wl_700,wl_702,wl_704,wl_706,wl_709,wl_711,wl_713,wl_715,wl_718,wl_720,wl_722,wl_724,wl_726,wl_729,wl_731,wl_733,wl_735,wl_738,wl_740,wl_742,wl_744,wl_747,wl_749,wl_751,wl_753,wl_756,wl_758,wl_760,wl_762,wl_764,wl_767,wl_769,wl_771,wl_773,wl_776,wl_778,wl_780,wl_782,wl_785,wl_787,wl_789,wl_791,wl_793,wl_796,wl_798,wl_800
0,2022-07-08_142402_MDCNGB2,R,S,-3.186271667,8.190187454223633,81.56495666503906,0,5,5,shallow,0,1,0,2,2,352726.8675368901,4709599.263773186,0.007800226,0.0078466,0.00787905,0.007897573,0.007902171,0.007892845,0.007869596,0.00783242,0.007805564,0.00734018,0.007661705,0.007551001,0.007521228,0.007640984,0.007933462,0.007541431,0.007498595,0.007836152,0.008186925,0.008235333,0.008373612,0.00816196,0.0083581,0.00855768,0.008713923,0.008942856,0.0089458,0.008865074,0.008989446,0.008925599,0.00887158,0.008700985,0.008582529,0.008595446,0.008579855,0.008547047,0.008524998,0.008499724,0.008426199,0.008414898,0.008469272,0.008510423,0.008615843,0.008640273,0.008617134,0.008509282,0.008419142,0.008416391,0.008403827,0.008429038,0.008511892,0.008531473,0.008541434,0.008580049,0.008721539,0.008780475,0.008874224,0.008845824,0.008857628,0.008901619,0.008893347,0.0089405,0.008984514,0.008986464,0.009013831,0.008986427,0.008912556,0.008896987,0.008926308,0.008955077,0.008987727,0.009007468,0.009096675,0.009191264,0.00924723,0.00931833,0.009418502,0.009449509,0.009542509,0.009552578,0.009566369,0.009549142,0.009586542,0.009572078,0.009445157,0.009265438,0.009090286,0.008829933,0.008480394,0.00810476,0.007754236,0.007315323,0.006923891,0.006578925,0.00626306,0.005936375,0.005775457,0.005636182,0.005470602,0.005349477,0.005294986,0.005195636,0.005134837,0.005111976,0.005108109,0.005050063,0.005005213,0.004995806,0.004991679,0.004909244,0.004894308,0.004830149,0.004706701,0.004539663,0.004349577,0.004144957,0.003969287,0.003731754,0.003492234,0.003252191,0.003076431,0.002981455,0.002928358,0.002885768,0.002902753,0.002914581,0.002927049,0.002958536,0.00299597,0.003020876,0.003030328,0.003002708,0.002973157,0.002903458,0.002902535,0.002863749,0.002772261,0.002661739,0.002478268,0.002265428,0.002015569,0.001811881,0.001558174,0.001297343,0.001036641,0.000878155,0.000653102,0.000484949,0.000394229,0.000275175,0.000186118,0.00015122,0.000102402,7.63888965593651e-05,2.9831080610165372e-05,0.000108239,0.000101303,2.5995756004704162e-05,7.061629730742425e-05,0.000129682,0.00014802,0.000130547,2.189389124396257e-05,0,3.800760896410793e-05,3.634720997069962e-05,8.37487168610096e-05,0.0001241,0.000110936,0.000170609,9.495187987340614e-05,6.62217425997369e-05,0.000134504,4.93313891638536e-05,2.124672755599022e-05,0,0,0,0,0,0
1,2022-07-08_142412_MDCNGB2,O,S,-3.241400719,11.675393104553223,82.56708526611328,1,5,4,shallow,0,1,0,2,2,352728.3929995724,4709601.453366512,0.009461495,0.009499269,0.00949726,0.009455469,0.009373895,0.00925254,0.009091402,0.008890482,0.008132949,0.008859904,0.008467085,0.007266817,0.007168185,0.007286448,0.007106017,0.007093401,0.006985491,0.007499128,0.00761951,0.007919523,0.008324032,0.008035298,0.008109797,0.008056785,0.008094952,0.008299166,0.008493746,0.00836929,0.008223613,0.008052594,0.008264679,0.008417685,0.008221295,0.0082858,0.008385591,0.008269919,0.00817598,0.008063405,0.008171135,0.008297347,0.008529138,0.00846595,0.0085816,0.00847281,0.008529468,0.008358765,0.008237095,0.008171074,0.008057767,0.008040134,0.007977655,0.007959036,0.00803799,0.008106794,0.008195552,0.008408316,0.008583328,0.008573292,0.008689724,0.008606594,0.008730144,0.008656029,0.008586264,0.008546807,0.008536054,0.008464307,0.008449795,0.008361636,0.008273487,0.008366038,0.008344838,0.008290684,0.0083137,0.008324759,0.008363005,0.008349979,0.008396025,0.008498137,0.008655681,0.008715782,0.008820347,0.008845813,0.008914758,0.008863425,0.008815425,0.008647579,0.008380215,0.00809921,0.007740248,0.007408876,0.006982677,0.00663915,0.006290381,0.00599326,0.005791483,0.00564346,0.005633585,0.005470266,0.005518646,0.00544145,0.005308036,0.005233724,0.005120549,0.005038172,0.004940785,0.004880281,0.004767664,0.004750485,0.004787027,0.004740894,0.004685054,0.004558073,0.004506836,0.00431862,0.004158238,0.003981477,0.003841326,0.003727166,0.00368756,0.003561982,0.003601554,0.003602447,0.003577893,0.003439284,0.003388744,0.003442305,0.003464426,0.003375202,0.003414903,0.003419657,0.003416488,0.003354327,0.003381332,0.003447631,0.00353397,0.003419373,0.003265798,0.00311399,0.002979702,0.002856517,0.002692196,0.002375351,0.002182327,0.001923062,0.001724926,0.001436078,0.00133868,0.001312854,0.001194274,0.00099705,0.000901399,0.000759469,0.000755064,0.000739955,0.000676158,0.000500094,0.000317656,0.000212347,0.000213595,0.000125058,0.000185032,0.00017629,0.00014022,5.64734946237877e-05,5.550734931603074e-05,7.990908488864079e-05,0.000240148,0.000309807,0.000395405,0.000543459,0.000543601,0.00063701,0.000670755,0.00079789,0.000812973,0.000799658,0.000757946,0.000687837,0.000589331,0.000462428,0.000307128
2,2022-07-08_142422_MDCNGB2,A,S,-3.664091825,3.588250398635864,84.85207367,4,5,1,shallow,1,0,2,0,2,352730.6576888907,4709603.627318869,0.008913388,0.008589252,0.008309514,0.008074176,0.008140333,0.00884832,0.009387743,0.009758603,0.009089983,0.009838269,0.010022765025496483,0.009340115,0.008878398,0.008213709,0.008662379,0.007996569,0.007726185,0.008628231,0.008751339,0.009455971,0.009541248,0.009682789,0.009790092,0.010044027119874954,0.010092932730913162,0.009595717,0.009486129,0.008881045,0.008758684,0.008980448,0.009069288,0.009103077,0.009009505,0.008902674,0.009065395,0.008961084,0.009014416,0.009026786,0.008783176,0.008912961,0.008985943,0.008765739,0.008880687,0.008856187,0.008984481,0.009097212,0.009097192,0.009039669,0.009121179,0.008858531,0.008962675,0.008702314,0.008742311,0.008856797,0.008755494,0.008903147,0.008949577,0.008812586,0.008707677,0.008702276,0.008550304,0.008468091,0.008369547,0.008167462,0.008274387,0.008172266,0.008187579,0.00821423,0.008240951,0.00835642,0.008484422,0.008472978,0.008442976,0.008535185,0.008710274,0.008912833,0.008994214,0.008988579,0.009046811,0.009109274,0.008930596,0.008848297,0.00885468,0.008796553,0.008609535,0.008361242,0.008067626,0.007700617,0.00730319,0.007020284,0.006599053,0.006317551,0.005943072,0.005727689,0.005390759,0.005259137,0.005153472,0.004930879,0.004726902,0.004627262,0.004497783,0.004442543,0.004300026,0.004256958,0.004146379,0.004139548,0.004168711,0.004209786,0.004141164,0.004097811,0.004038099,0.003942724,0.003817112,0.003844101,0.003708931,0.003500681,0.003174065,0.003043694,0.002891629,0.002808944,0.002746742,0.002755853,0.002845436,0.002778513,0.002909425,0.003059482,0.003212351,0.003324298,0.003357687,0.003217855,0.00320326,0.003120713,0.003187169,0.003137956,0.003099629,0.003127099,0.003158494,0.002804675,0.002569805,0.002427337,0.002201969,0.001920416,0.001782959,0.001476783,0.001212196,0.001135208,0.000975999,0.000769479,0.000521719,0.000373265,0.00011985,8.316135063068941e-05,0,0.000226607,0.00023368,0.000139177,1.6097526895464398e-05,0.000311973,0.00016421,0.00012959,0,0,0,0,0,0,0,5.9050395066151395e-05,7.21019969205372e-05,6.231006409507245e-05,0.00010427,0.000300379,0.000304202,0.000399592,0.000347623,0.000252388,0.000113887,0,0,0,0
3,2022-07-08_142432_MDCNGB2,S,S,-3.890998363,5.243590831756592,76.68888092041016,5,5,0,shallow,1,0,2,0,2,352732.92239141226,4709605.801271626,0.013785678893327713,0.012754291296005249,0.011827246,0.011004542000591755,0.010286180302500725,0.009672161,0.009162483,0.009047549,0.009378262,0.009388382,0.009116062,0.009537144,0.009583814,0.009058462,0.008589088,0.00817336,0.007934789,0.008242697,0.008134324,0.007963268,0.008555405,0.00901434,0.009296804,0.009514344,0.009889745,0.010006185621023178,0.009725162,0.009559377,0.009231168,0.009046711,0.008886199,0.008688269,0.00841455,0.008277993,0.008250173,0.008385476,0.008408676,0.008512133,0.00873357,0.008843509,0.008726328,0.008992137,0.009184504,0.009168989,0.009089505,0.009032951,0.008895831,0.00881499,0.008773389,0.008687606,0.008796127,0.00870502,0.00871633,0.00855975,0.008461434,0.008460817,0.008361588,0.008214463,0.008171145,0.008189132,0.008247352,0.008172827,0.008224153,0.008322204,0.008503081,0.008517192,0.008678052,0.00861054,0.008695585,0.008649285,0.008598678,0.008771701,0.008955844,0.009108449,0.009364017,0.009474062,0.0096954,0.009809657,0.010011395439505577,0.009980218,0.00988498,0.009690318,0.009398447,0.009010163,0.008765325,0.008569879,0.008309065,0.007882908,0.007571932,0.007078835,0.006624454,0.00628844,0.006080737,0.005641929,0.005417536,0.005064247,0.004925688,0.004586278,0.004423354,0.00435106,0.004311143,0.004161328,0.003970281,0.003769205,0.003710568,0.003554285,0.003634463,0.00353206,0.003624226,0.003457376,0.003607936,0.003437743,0.003356446,0.00331823,0.003226398,0.003071209,0.00274519,0.002611612,0.002502373,0.002416878,0.002359378,0.002294875,0.002354529,0.002379673,0.002616954,0.002628721,0.002548563,0.002598261,0.002505968,0.002270484,0.002127885,0.002249347,0.002291278,0.002291508,0.002205983,0.002133896,0.002089522,0.002087866,0.001986384,0.001901208,0.001803356,0.001715963,0.00147311,0.0012796,0.001427407,0.00142757,0.001362428,0.001244966,0.001048065,0.000835326,0.000679545,0.000510531,0.000314827,0.000325147,0.000384073,0.000247068,0.000240294,0.000330044,0.000263263,0.000110673,0.000265102,0.000284792,0.00038222,0.000357237,0.000449433,0.000382347,0.000451559,0.000606767,0.000590231,0.000207123,4.868370888289064e-05,0.000199618,0.00021766,0.00025312,0.000158708,3.600044146878645e-05,0,0,0,9.294064511777833e-05,0.000215084
4,2022-07-08_142442_MDCNGB2,A,S,-4.052125931,9.749368667602539,80.00087738,4,5,1,shallow,1,0,2,0,2,352734.4478506759,4709607.991,0.011607589200139046,0.010900129564106464,0.010257380083203316,0.009679341,0.009579354,0.009464364,0.009314887,0.009130924,0.007902456,0.007822382,0.007988201,0.008158088,0.007868811,0.007616456,0.008458572,0.008863389,0.008970225,0.008646751,0.00870343,0.0081584,0.008081574,0.007855314,0.008165482,0.008016063,0.007979489,0.007925396,0.007982599,0.007743692,0.007817002,0.007707166,0.007610062,0.00774528,0.007585524,0.007322671,0.007312567,0.007301098,0.007568043,0.007642133,0.007562154,0.007578783,0.007769343,0.007716234,0.007706397,0.007502081,0.007397679,0.007298763,0.007274997,0.007114234,0.007111596,0.007180891,0.007002998,0.007058091,0.007056125,0.007129979,0.007237389,0.007273799,0.007305771,0.007217069,0.007329132,0.007405391,0.007386594,0.007495601,0.007382077,0.007315471,0.007364513,0.00760351,0.007738173,0.007981303,0.008148622,0.008362555,0.008526692,0.008515964,0.008655585,0.008690035,0.008779047,0.008654837,0.008526618,0.008537551,0.008497355,0.008574085,0.008583802,0.008611081,0.008448725,0.0083623,0.008122798,0.007860757,0.007714553,0.007258942,0.006825152,0.006455446,0.006051768,0.005667016,0.005316244,0.005143142,0.00482541,0.0045438,0.004229356,0.004122772,0.003883417,0.003784052,0.00364143,0.00351466,0.003424949,0.003439668,0.003411119,0.003341652,0.00334467,0.003409911,0.003328314,0.003280879,0.003306177,0.003160072,0.003036281,0.002843895,0.002750982,0.002621212,0.002397734,0.002318234,0.002293549,0.002477863,0.002555383,0.002695592,0.002883401,0.003116738,0.002941562,0.003003807,0.003288732,0.003419013,0.003471648,0.003583925,0.003825908,0.003925993,0.00415291,0.004524501,0.004584493,0.005142021,0.005559122,0.005808665,0.00521976,0.005454511,0.005365521,0.005319272,0.005261678,0.004986965,0.004745944,0.004891108,0.005064259,0.005357542,0.005433709,0.005555279,0.005555384,0.005118506,0.004402888,0.004153605,0.003332796,0.003168162,0.002612345,0.001441467,0.000540283,0.000101602,0.000254983,0.000496808,0.000738551,0.000697392,0.000771012,0.000799542,0.000737879,0.000778785,0.000663583,0.000707075,0.000489672,0.000298103,0.000166017,0.000203226,9.407071775058284e-05,0,1.92230236280011e-05,8.549833000870422e-05,0.000172478,0.000280162,0.000408551
5,2022-07-08_142452_MDCNGB2,C,S,-4.093708992,3.386578321456909,83.96589660644531,3,5,2,shallow,0,0,1,1,2,352737.3531878806,4709609.373610692,0.011255629360675812,0.010693403892219067,0.010188866406679153,0.009742017,0.009353946,0.009594144,0.009779019,0.009908574,0.010494817048311234,0.010046698153018951,0.009808202,0.009543349,0.009276494,0.009407735,0.009533971,0.009567752,0.009624244,0.009681059,0.009241146,0.009604962,0.010180474258959293,0.010013688,0.010431029,0.010532744228839874,0.010617712512612343,0.010522563941776752,0.010570887476205826,0.010848847217857838,0.010759394615888596,0.010390909388661385,0.00987017,0.009772778,0.009540386,0.009373156,0.009310928,0.009283521,0.009377797,0.009148133,0.009257792,0.009314088,0.009559467,0.009815855,0.009646997,0.00966309,0.009588432,0.009555884,0.009440512,0.009287988,0.009296265,0.009091352,0.008813146,0.008717582,0.008757618,0.008688656,0.008734448,0.008773508,0.008785313,0.008783835,0.008820398,0.008644582,0.008654175,0.008692038,0.008524231,0.008370189,0.008418806,0.00845134,0.008405888,0.008480623,0.008484261,0.008492933,0.008506965,0.008339296,0.008279002,0.008387979,0.008474165,0.008645783,0.008556681,0.00852501,0.008576668,0.008464923,0.008465203,0.008247638,0.008190188,0.007922634,0.007631426,0.007459906,0.007174295,0.006791293,0.006326756,0.006010339,0.005646683,0.005353478,0.005166282,0.005036331,0.004802076,0.004447002,0.004207684,0.004140511,0.004113553,0.004023739,0.00401334,0.003922896,0.003890835,0.003829782,0.003676542,0.003625885,0.003807839,0.003737527,0.003600481,0.003597307,0.003578048,0.003625799,0.003606585,0.0035007,0.003256208,0.003061822,0.002811204,0.002597735,0.002439622,0.002457275,0.002335199,0.002343213,0.002230586,0.002418797,0.002432791,0.002488735,0.002545972,0.002612817,0.002485876,0.002401908,0.002350351,0.002244563,0.002188342,0.002130959,0.002154443,0.002075577,0.002104973,0.002069594,0.001846469,0.001674357,0.001488644,0.001298328,0.001096535,0.000896624,0.000850592,0.000679164,0.000702099,0.000652777,0.00068208,0.000661072,0.000710868,0.000624192,0.000475012,0.000195373,4.1832419810816646e-05,0,8.912030898500234e-05,0.000111859,0.000147906,0.000116052,0.000244663,0.000132768,8.134824020089582e-05,0.000207072,0.000244847,0.000134298,0.000167574,2.80300882877782e-05,0.000127707,0.000255801,0.000560949,0.000629309,0.00054047,0.000557213,0.00049272,0.000388327,0.000244035,0.000213677,0.000220114,0.000216648,0.00020328
6,2022-07-08_142502_MDCNGB2,A,S,-4.130897045,8.708578109741211,47.93791961669922,4,5,1,shallow,1,0,2,0,2,352738.87865155435,4709611.563206077,0.015027654357254505,0.013045868836343288,0.011699105612933636,0.011115523055195808,0.010622246190905571,0.010592608712613583,0.010663354769349098,0.010705091990530491,0.010477352,0.011084719561040401,0.010405817069113255,0.010873716324567795,0.010055725,0.010064227,0.009858862,0.009632595,0.008784384,0.009115378,0.009059589,0.009371827,0.0094363,0.009600914,0.009777439,0.010163156315684319,0.009922754,0.009695961,0.009752692,0.009605048,0.009775264,0.009660177,0.00946238,0.009687631,0.009310845,0.009147872,0.009134807,0.009088505,0.008930107,0.009057947,0.00900469,0.008947507,0.008946612,0.009075589,0.009044603,0.009057767,0.008966043,0.008730397,0.008599452,0.008440034,0.008525945,0.008411608,0.008442154,0.008427892,0.008445788,0.008590472,0.008637396,0.008660425,0.008564257,0.008486019,0.008554598,0.008487301,0.008368135,0.008242593,0.008125027,0.007906556,0.007907917,0.008055529,0.008278965,0.00837117,0.008286063,0.008170259,0.00817796,0.008034777,0.00806379,0.008114288,0.008133695,0.008174308,0.008281005,0.008227478,0.008383904,0.008528423,0.008372743,0.008224179,0.007928326,0.007868275,0.007597971,0.00724979,0.006962385,0.006642529,0.00621453,0.005806445,0.005528404,0.005187064,0.005112872,0.004913413,0.004639148,0.004514844,0.004329153,0.004288575,0.004029059,0.003978594,0.003852494,0.003765038,0.003474422,0.003365898,0.003449577,0.003492484,0.003623846,0.003615355,0.003574831,0.003537147,0.003421427,0.003360014,0.003156373,0.003142372,0.002960398,0.002845788,0.002815864,0.002781848,0.002687284,0.002626311,0.002530728,0.002536365,0.002603857,0.002666627,0.00274853,0.002826893,0.00278178,0.002791221,0.002843967,0.002727251,0.002687086,0.002573766,0.002458609,0.002365486,0.002338963,0.002394863,0.002342005,0.002100797,0.001989017,0.001841644,0.001561757,0.001426145,0.001259119,0.001043489,0.000868473,0.000719285,0.000599514,0.000669233,0.000699712,0.00063369,0.000609332,0.000720009,0.000724113,0.00055,0.000395031,0.000367529,0.000322991,0.000294586,0.00024676,0.000112423,0.000352748,0.000658309,0.000578637,0.00052,0.000357396,0.000618106,0.000650317,0.000722791,0.000926129,0.000925554,0.000772964,0.0007289,0.000629091,0.000501291,0.00051988,0.000504608,0.000449223,0.00038923,0.000512287,0.000644162,0.000784853
7,2022-07-08_142512_MDCNGB2,O,S,-4.246673584,6.634744167327881,82.58153533935547,1,5,4,shallow,0,1,0,2,2,352741.88257543725,4709613.721521283,0.014328837394714355,0.013562175445258617,0.012836969457566738,0.012153221294283867,0.011510930955410004,0.010910097509622574,0.011562966741621494,0.012066815979778767,0.011658688075840473,0.011008359491825104,0.010597964748740196,0.010133710689842701,0.010525703430175781,0.009992899,0.009650146,0.009890614,0.010233253240585327,0.010166731663048267,0.010336784645915031,0.010109327733516693,0.010393794625997543,0.010874757,0.010895080864429474,0.010935354977846146,0.010899880900979042,0.01123351,0.011267611,0.010893677361309528,0.011021147482097149,0.011053274385631084,0.011183132417500019,0.011203214526176453,0.010943333618342876,0.010437370277941227,0.01006637,0.009854996,0.009543307,0.009470797,0.009510721,0.009694239,0.009911508,0.0097324,0.009962342,0.010121370665729046,0.010086849331855774,0.009783104,0.009449292,0.009325827,0.00919431,0.009015637,0.008663856,0.008591379,0.008634536,0.008613814,0.008715345,0.008561014,0.008539245,0.008734288,0.008517551,0.008384435,0.008486267,0.008531237,0.008284938,0.008234402,0.008128383,0.008240156,0.008227683,0.008069051,0.008147282,0.008072502,0.007901003,0.007918432,0.00770185,0.007731905,0.007736761,0.007670984,0.007540199,0.007720774,0.007767696,0.007698806,0.007550659,0.007289287,0.007088634,0.006864022,0.006401638,0.006069683,0.006065922,0.005621282,0.005319017,0.004904129,0.004747442,0.004657859,0.004532507,0.004324672,0.004262216,0.00412563,0.004097665,0.004033997,0.003930954,0.003936731,0.003865808,0.00359542,0.003553154,0.003492288,0.003470662,0.003334533,0.003289923,0.003362149,0.003413389,0.003327511,0.003192481,0.00303401,0.002909396,0.002756836,0.002435046,0.002171234,0.002127545,0.00217345,0.002189662,0.002182566,0.002348553,0.002457056,0.002586847,0.002579389,0.002688834,0.002669434,0.002706467,0.002634744,0.002527744,0.002371587,0.002425482,0.002235388,0.002232094,0.002079811,0.0019775,0.001743221,0.001650144,0.001587918,0.001548907,0.001337597,0.001185686,0.000993134,0.000876229,0.000795299,0.000595278,0.0004045,0.000436197,0.000415433,0.000504458,0.000416106,0.000438381,0.000454458,0.000488365,0.00049028,0.00049886,0.000528387,0.000456893,0.000360563,0.000129582,0.000100181,0.000169909,0.000233482,0.000231065,0.00037603,0.000461254,0.000390505,0.000216777,8.717725722817704e-05,2.3645683540962636e-05,0,0,2.446635153319221e-05,0,0,0,0,0,0,0,4.6988658141344786e-05,0.00012048
8,2022-07-08_142522_MDCNGB2,F,S,-4.260498524,0.883234382,58.51636887,2,5,3,shallow,0,0,1,1,2,352744.13081839716,4709615.118170833,0.010456276126205921,0.010292133316397667,0.010125001892447472,0.00995488,0.009781769,0.009664864,0.010028880089521408,0.010297102853655815,0.009851018,0.00980589,0.010155965574085712,0.009890152,0.010303660295903683,0.009889253,0.009338796,0.009254962,0.009251477,0.008939932,0.009127912,0.009456521,0.009389742,0.009151952,0.0093793,0.009641281,0.009244657,0.009761461,0.009890443,0.009848135,0.010007309727370739,0.010207327082753181,0.010038865730166435,0.010071873664855957,0.009784505,0.009207311,0.009203659,0.008743483,0.008651303,0.00860823,0.008522428,0.008640623,0.008704096,0.008860637,0.008847578,0.008673795,0.008789741,0.008689684,0.00860399,0.008424046,0.008199646,0.007821533,0.007922621,0.007791164,0.007744757,0.007823635,0.007835233,0.007832376,0.007893385,0.007950707,0.007904382,0.0077526,0.007638642,0.007563015,0.007521535,0.007553354,0.007540193,0.007445394,0.007280135,0.007198161,0.007104708,0.007259725,0.007516607,0.007577572,0.007551176,0.007634078,0.007710901,0.007779128,0.007835575,0.007849508,0.007786909,0.007718162,0.00759647,0.007447167,0.007245022,0.006961499,0.006769971,0.006334143,0.005988407,0.0057357,0.005483704,0.005184091,0.004845206,0.004603922,0.004407042,0.004220087,0.004035894,0.003781296,0.003592643,0.003441418,0.003354706,0.003316333,0.003369606,0.003266111,0.003189163,0.003091961,0.002993832,0.002949112,0.002973782,0.002906226,0.002873837,0.002870321,0.002858569,0.002877148,0.002796365,0.002654498,0.002458786,0.002277338,0.002115484,0.0019087,0.00183592,0.001766909,0.001821585,0.001877276,0.001932912,0.002073443,0.002099987,0.002197961,0.002233823,0.002201462,0.002161799,0.002185604,0.002255786,0.002152894,0.002026161,0.001988129,0.001865333,0.00186923,0.001722082,0.001577078,0.001435389,0.001331204,0.001093794,0.000799749,0.000494341,0.000426233,0.000341578,0.000219454,0.000197181,0.000197922,0.00014952,0.000277154,0.000372789,0.000485041,0.000369935,0.00028835,0.000160231,0.000122173,0,0.000237049,0.000214434,9.904406033456326e-05,0.000507097,0.000896323,0.001035789,0.001194291,0.001393598,0.00148557,0.00167825,0.001646428,0.001639774,0.002399399,0.003505359,0.005495852,0.006165368,0.007102599,0.007749058,0.008272511,0.008672958,0.008950404,0.009104843,0.009136277,0.009044709
9,2022-07-08_142532_MDCNGB2,C,S,-4.537388802,4.112595081329346,82.62808227539062,3,5,2,shallow,0,0,1,1,2,352746.3955058812,4709617.292135672,0.004860453,0.004352189,0.003908935,0.00353069,0.003492225,0.003619862,0.003713826,0.003774115,0.003777843,0.003596938,0.003517146,0.003498929,0.003523578,0.003493162,0.003389748,0.003268242,0.003326746,0.003365165,0.003394484,0.003418165,0.003389098,0.003449682,0.003522684,0.003526823,0.003503855,0.003524703,0.003554182,0.003518987,0.003471065,0.003446556,0.003436295,0.003407905,0.003366005,0.00333174,0.003319218,0.003324523,0.003353922,0.003347609,0.003369103,0.003363729,0.003346785,0.003314127,0.003287869,0.003248107,0.003225059,0.003176291,0.003169637,0.003164081,0.003154687,0.003157239,0.00317124,0.003200416,0.003239324,0.003215723,0.003230703,0.003217842,0.003271706,0.003308032,0.003346229,0.003378613,0.003378107,0.003392423,0.003402948,0.00343624,0.003437141,0.003458517,0.003486084,0.003528026,0.003596833,0.003653871,0.003737077,0.003807748,0.003872742,0.003929791,0.003976828,0.004014756,0.004027495,0.004023581,0.003993421,0.004161491,0.004458243,0.00462365,0.004912674,0.005140088,0.005270797,0.005366754,0.005318313,0.005403981,0.005453073,0.005542992,0.005724861,0.006174847,0.006416511,0.006716761,0.006839031,0.006883723,0.007273072,0.007445131,0.007827795,0.008078874,0.008407125,0.008780213,0.009144442,0.009428046,0.009862154,0.010330697,0.010426136,0.010629716329276562,0.010593040846288204,0.010863976553082466,0.011021560989320278,0.010915464721620083,0.010971548967063427,0.010951587930321693,0.011120426468551159,0.011236222460865974,0.011349115520715714,0.011492026038467884,0.011755869723856449,0.012082148343324661,0.012204952538013458,0.012420249171555042,0.012695400975644588,0.013403023593127728,0.013739842921495438,0.013789119198918343,0.013949974440038204,0.014056901447474957,0.014037697575986385,0.014156742,0.01404918,0.013955657370388508,0.013725369237363338,0.013562608510255814,0.013226469047367573,0.012834283523261547,0.012782500125467777,0.013343412429094315,0.0127469,0.011972067877650261,0.011597181670367718,0.011239682324230671,0.010493462905287743,0.009776448,0.008788826,0.008028038,0.0072672,0.006671864,0.005926324,0.005415151,0.005301901,0.005240947,0.004437936,0.00419787,0.003775874,0.003513507,0.003396046,0.002610533,0.001248186,0.000236375,4.7980847739381716e-05,4.558236832963303e-05,7.894504960859194e-05,0.000103249,0.000103333,0.000106128,9.900102304527536e-05,9.460211731493473e-05,6.707421562168747e-05,4.078449637745507e-05,5.557070471695624e-05,3.911254680133425e-05,6.744815618731081e-05,6.793536886107177e-05,6.709717854391783e-05,6.615317397518083e-05,6.510336243081838e-05,6.394774391083047e-05,6.268636207096279e-05,6.131917325546965e-05,5.984613380860537e-05
